Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Fiji,FJI,..,21.7585906982422,17.3918552398682,15.1698865890503,16.8171863555908,14.9348115921021,16.8337001800537,16.6401386260986,13.5591077804565,12.6465339660645,14.6291103363037,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Finland,FIN,..,12.2187032699585,10.972207069397,10.876088142395,10.5400705337524,10.3994731903076,10.5227766036987,10.2389678955078,10.2311220169067,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,France,FRA,..,10.8389720916748,9.59043502807617,9.54159355163574,9.54689502716064,9.56552600860596,9.48199844360352,8.82271194458008,8.87541103363037,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Gabon,GAB,..,17.7064895629883,11.6105213165283,10.3015422821045,15.2766714096069,14.6146268844604,14.0744771957397,15.7641649246216,15.3551635742188,13.8033790588379,13.5658235549927,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Gambia, The",GMB,..,11.921799659729,12.4213285446167,10.4499597549438,15.4411373138428,12.444580078125,16.8520450592041,14.2760601043701,15.6218185424805,14.4843282699585,17.5029582977295,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Georgia,GEO,..,13.4539813995361,14.1098947525024,15.0103225708008,15.1146421432495,14.2720069885254,14.1419124603271,12.0671129226685,12.4690103530884,12.1745977401733,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Germany,DEU,..,8.52844333648682,9.63814353942871,9.4778299331665,9.48073101043701,9.63820171356201,9.72637844085693,9.29844093322754,9.06617259979248,9.19070148468018,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Ghana,GHA,..,..,23.8087997436523,22.0933208465576,20.0976390838623,18.5981693267822,14.2717189788818,13.6294746398926,12.1674146652222,13.1793041229248,12.0353174209595,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Gibraltar,GIB,..,..,7.69608020782471,8.01170921325684,7.62687253952026,7.75997543334961,7.36537981033325,7.68057203292847,7.61831378936768,7.82075643539429,8.83156776428223,..
