,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
41,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,..,0.893159985542297,2.05700993537903,2.10033011436462,2.11602997779846,2.14057993888855,2.2446300983429,2.40666007995605,2.4326000213623,2.55518007278442,..,..
42,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Colombia,COL,..,0.131060004234314,0.365420013666153,0.270509988069534,0.261090010404587,0.312330007553101,0.322010010480881,0.289400011301041,0.289400011301041,0.289400011301041,..,..
43,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Comoros,COM,..,..,..,..,,,,,,,..,..
44,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",COD,..,..,0.406379997730255,..,,,,,,,..,..
45,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,..,..,..,0.383390009403229,0.383390009403229,0.383390009403229,0.383390009403229,0.383390009403229,0.383390009403229,..,..
46,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,..,0.411350011825562,0.436650007963181,0.443349987268448,0.425870001316071,0.3714399933815,0.350730001926422,0.330020010471344,0.273849993944168,0.33788999915123,..,..
47,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cote d'Ivoire,CIV,..,..,..,0.069750003516674,,,,,,,..,..
48,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Croatia,HRV,..,1.04250001907349,0.823780000209808,0.844330012798309,0.841499984264374,0.943120002746582,1.07026994228363,1.22988998889923,1.23124003410339,1.40322995185852,..,..
49,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cuba,CUB,..,0.478650003671646,0.428539991378784,0.34222999215126,0.430660009384155,0.536909997463226,0.553080022335052,0.518379986286163,0.322820007801056,0.360119998455048,..,..
50,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Curacao,CUW,..,..,..,..,,,,,,,..,..
51,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cyprus,CYP,..,0.226899996399879,0.47529000043869,0.519699990749359,0.542590022087097,0.614049971103668,0.709450006484985,0.83653998374939,0.800300002098083,0.745270013809204,..,..
52,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Czechia,CZE,..,1.10996997356415,1.91689002513885,1.67002999782562,1.76855003833771,1.89906001091003,1.92734003067017,1.98599004745483,1.99600994586945,1.96420001983643,..,..
53,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,..,2.18619990348816,3.05497002601624,3.09282994270325,2.93124008178711,2.96602988243103,2.89685010910034,2.97257995605469,2.76142001152039,2.89051008224487,..,..
54,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Djibouti,DJI,..,..,..,..,,,,,,,..,..
55,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominica,DMA,..,..,..,..,,,,,,,..,..
56,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominican Republic,DOM,..,..,..,..,,,,,,,..,..
57,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,..,..,..,..,,,,,,,..,..
58,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Egypt, Arab Rep.",EGY,..,0.192469999194145,0.718580007553101,0.708480000495911,0.644860029220581,0.688390016555786,0.796169996261597,0.915639996528625,0.911750018596649,1.01968002319336,1.03356003761292,..
59,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,El Salvador,SLV,..,..,0.143480002880096,0.144930005073547,0.180779993534088,0.165309995412827,0.174769997596741,0.162990003824234,0.162520006299019,0.142800003290176,..,..
60,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,,,,,,,..,..
61,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eritrea,ERI,..,..,..,..,,,,,,,..,..
62,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,..,0.600000023841858,1.4677699804306,1.24305999279022,1.27684998512268,1.40998995304108,1.62057995796204,1.75314998626709,1.76766002178192,1.78205001354218,..,..
63,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eswatini,SWZ,..,..,0.267540007829666,..,,,,,,,..,..
64,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ethiopia,ETH,..,..,..,..,0.274370014667511,0.274370014667511,0.274370014667511,0.274370014667511,0.274370014667511,0.274370014667511,..,..
65,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Faroe Islands,FRO,..,..,..,..,,,,,,,..,..
66,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fiji,FJI,..,..,..,..,,,,,,,..,..
